offeringService,shopCode,address_si,address_gu,address,shopName,latitude,longitude,count_address_gu
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VI556,수원시,권선구,경기 수원시 권선구 세지로28번길13 (세류3동 1091-10),GS25수원그랜드점,127.01643427,37.25453188,100
['drug'],VH145,수원시,권선구,"경기 수원시 권선구 세권로304번길29-1, 1층(권선동 1292-10)",GS25수원나루점,127.03647688,37.25102022,100
"['cafe25', 'drug', 'post', 'withdrawal']",V2531,수원시,영통구,"경기 수원시 영통구 매탄로108번길24,  103호(매탄3동 1264-1, 삼성프라자)",GS25수원뉴타운점,127.04461616,37.25988985,101
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V3079,수원시,팔달구,"경기 수원시 팔달구 효원로219번길36,  101호(인계동 1026-9)",GS25수원다모아점,127.02672843,37.26488037,77
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal']",VDT92,수원시,권선구,"경기 수원시 권선구 당진로17, 104,105호 (당수동 232-6)",GS25수원당수점,126.94018533,37.29074621,100
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VP843,수원시,팔달구,경기 수원시 팔달구 매산로116번길70 (매교동 122-9),GS25수원대양점,127.01496969,37.26831539,77
"['cafe25', 'post', 'withdrawal']",V8B72,수원시,장안구,경기 수원시 장안구 수성로245번길64 (정자동 43-15),GS25수원두견점,126.99766519,37.29194979,74
"['cafe25', 'drug', 'post', 'withdrawal']",V8T44,수원시,장안구,"경기 수원시 장안구 장안로211, 상가동 (정자동 313-1, 동신아파트)",GS25수원망고점,126.9933106,37.30050015,74
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",V7K96,수원시,영통구,"경기 수원시 영통구 영통로173번길23-28, 1층 (망포동 291-18)",GS25수원망포마을점,127.05291101,37.24207879,101
"['toto', 'cafe25', 'drug', 'post', 'atm', 'withdrawal']",VE930,수원시,팔달구,"경기 수원시 팔달구 갓매산로30, 1층 (매산로2가 63-12)",GS25수원매산로점,127.00596161,37.2674201,77
"['cafe25', 'drug', 'withdrawal']",V2656,수원시,영통구,"경기 수원시 영통구 인계로239,  117호(매탄4동 810-4, 성일프라자)",GS25수원매탄점,127.04405117,37.2653459,101
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",VY520,수원시,권선구,"경기 수원시 권선구 경수대로295, 1층 (세류3동 1100-4)",GS25수원문화점,127.01996652,37.25336272,100
