행정구역(구동)별(1),행정구역(구동)별(2),합계,합계,합계,0∼4세,0∼4세,0∼4세,5∼9세,5∼9세,5∼9세,10∼14세,10∼14세,10∼14세,15∼19세,15∼19세,15∼19세,20∼24세,20∼24세,20∼24세,25∼29세,25∼29세,25∼29세,30∼34세,30∼34세,30∼34세,35∼39세,35∼39세,35∼39세,40∼44세,40∼44세,40∼44세,45∼49세,45∼49세,45∼49세,50∼54세,50∼54세,50∼54세,55∼59세,55∼59세,55∼59세,60∼64세,60∼64세,60∼64세,65∼69세,65∼69세,65∼69세,70∼74 세,70∼74 세,70∼74 세,75∼79세,75∼79세,75∼79세,80∼84세,80∼84세,80∼84세,85세이상,85세이상,85세이상
행정구역(구동)별(1),행정구역(구동)별(2),계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여
팔달구,고등동,20018,10092,9926,962,490,472,714,364,350,648,321,327,693,332,361,1176,562,614,1625,822,803,1752,941,811,1709,967,742,1535,854,681,1461,735,726,1639,799,840,1574,806,768,1476,750,726,1109,498,611,770,372,398,590,254,336,363,158,205,222,67,155
팔달구,화서1동,22497,10921,11576,558,280,278,832,398,434,953,501,452,1076,518,558,1479,730,749,1641,860,781,1261,646,615,1292,659,633,1625,829,796,1977,935,1042,2109,1016,1093,1888,919,969,1900,945,955,1363,629,734,990,443,547,728,315,413,488,190,298,337,108,229
팔달구,화서2동,25696,12638,13058,792,405,387,1044,544,500,1234,665,569,1467,713,754,1876,947,929,2026,1048,978,1819,911,908,1623,826,797,1847,891,956,2214,1034,1180,2675,1209,1466,2317,1204,1113,1816,977,839,1027,475,552,643,289,354,535,251,284,432,163,269,309,86,223
팔달구,지동,10633,5435,5198,139,72,67,242,134,108,294,153,141,361,199,162,582,289,293,714,418,296,565,341,224,500,272,228,686,363,323,822,466,356,983,538,445,966,513,453,1138,564,574,910,421,489,644,286,358,509,215,294,346,129,217,232,62,170
팔달구,우만1동,20058,9994,10064,348,177,171,440,238,202,579,303,276,710,368,342,1324,667,657,1893,1029,864,1616,877,739,1280,741,539,1302,703,599,1514,795,719,1853,930,923,1743,855,888,1772,824,948,1301,576,725,919,397,522,697,271,426,469,173,296,298,70,228
팔달구,우만2동,16900,8500,8400,436,231,205,653,307,346,737,403,334,968,535,433,1697,913,784,1858,1045,813,1225,681,544,992,488,504,1237,583,654,1370,672,698,1455,685,770,1231,608,623,1090,528,562,739,345,394,447,190,257,326,135,191,234,91,143,205,60,145
팔달구,인계동,39711,20100,19611,847,419,428,1142,574,568,1318,662,656,1467,731,736,2867,1302,1565,5491,2735,2756,4181,2360,1821,3361,1869,1492,3160,1635,1525,3129,1603,1526,3239,1700,1539,2593,1286,1307,2533,1254,1279,1741,821,920,1057,494,563,770,341,429,564,208,356,251,106,145
영통구,소계,363422,182221,181201,13760,7128,6632,19929,10336,9593,21214,10946,10268,20182,10337,9845,25959,13202,12757,31621,16566,15055,30321,15805,14516,30281,15163,15118,34022,16669,17353,33126,16264,16862,31430,15607,15823,24047,12135,11912,18893,9672,9221,10944,5280,5664,6578,3072,3506,4863,2031,2832,3483,1283,2200,2769,725,2044
영통구,매탄1동,17612,8866,8746,429,221,208,632,311,321,741,365,376,985,518,467,1449,774,675,1540,874,666,1153,629,524,1141,589,552,1264,646,618,1511,703,808,1778,859,919,1481,765,716,1305,639,666,876,408,468,534,248,286,389,190,199,216,80,136,188,47,141
영통구,매탄2동,14781,7347,7434,295,156,139,517,289,228,636,339,297,802,430,372,1103,548,555,1308,655,653,1025,568,457,883,471,412,1067,522,545,1237,606,631,1444,705,739,1250,590,660,1207,596,611,746,363,383,466,219,247,356,157,199,254,91,163,185,42,143
